clone1	clone2	clone3	clone4
1 11750633	0	0.65	0	0
1 39028902	0	0	0.65	0
1 178411772	0	0.64	0	0
1 197363963	0	0.65	0	0
1 246792089	0	0.65	0.65	0.65
1 634228	0	0.65	0	0
1 11750616	0	0.65	0	0
1 44777740	0	0	0	0.65
1 44777751	0	0	0.65	0
1 44777755	0	0	0	0.65
1 46316595	0	0	0.65	0.65
1 50326862	0	0	0.65	0.65
1 16771520	0	0.65	0.65	0.65
1 22639424	0	0	0.65	0.65
1 31652702	0	0	0.65	0.65
1 32680511	0	0	0.65	0.65
1 44778033	0	0	0.65	0
1 44778047	0	0	0	0.65
2 94876810	0	0	0	0.65
2 130190501	0	0.65	0	0
2 222726641	0	0	0.65	0.65
2 130294221	0	0	0	0.65
2 177219312	0	0	0.65	0.65
2 231256445	0	0	0.65	0.65
2 24334731	0	0	0	0.66
2 37204496	0	0	0	0.66
2 63684674	0	0.66	0	0
2 113598782	0	0	0.65	0
2 113598836	0	0.65	0	0
2 113598845	0	0	0.65	0
2 119368252	0	0	0.65	0.65
2 135117509	0	0.65	0.65	0.65
2 216194968	0	0.65	0.65	0.65
3 242440	0	0	0.65	0.65
3 39411700	0	0	0.65	0
3 61742826	0	0	0	0.65
3 96617762	0	0	0.64	0.64
3 161429519	0	0.64	0	0
3 12836140	0	0.65	0	0
3 12840176	0	0	0.65	0
3 14181597	0	0.65	0	0
3 9933461	0	0	0.65	0
3 12787395	0	0.65	0	0
3 40457989	0	0	0.65	0.65
3 47850100	0	0	0.65	0
3 143518137	0	0.64	0	0
3 184150208	0	0	0.64	0
3 184150219	0	0	0	0.64
4 15730972	0	0.66	0	0
4 80393084	0	0.64	0	0
4 108622530	0	0	0	0.64
4 120342486	0	0	0	0.65
4 151104549	0	0	0	0.64
4 8619633	0	0	0.65	0.65
4 46723939	0	0	0.65	0.65
4 151104551	0	0	0	0.64
4 127812779	0	0	0.65	0
5 33162399	0	0	0	0.65
5 33162442	0	0	0.65	0
5 33162716	0	0.65	0	0
5 77291621	0	0	0.65	0
5 80650051	0	0	0	0.65
5 134923698	0	0	0	0.65
5 134923704	0	0	0.65	0
5 151800822	0	0.65	0.65	0.65
5 168616491	0	0	0	0.66
5 177306109	0	0.66	0.66	0.66
5 178056002	0	0	0.66	0
5 116562663	0	0	0.64	0
5 166382432	0	0	0.66	0
5 178055840	0	0	0	0.66
5 61390747	0	0	0	0.65
5 124809043	0	0	0.72	0.72
5 132867031	0	0	0.65	0
5 176389391	0	0	0	0.66
6 5788529	0	0	0.63	0
6 34263327	0	0	0.63	0
6 35469527	0	0.63	0.63	0.63
6 42956611	0	0.63	0	0
6 42956615	0	0.63	0	0
6 44253686	0	0.63	0.63	0.63
6 116258695	0	0	0	0.65
6 116258727	0	0	0	0.65
6 116258844	0	0	0	0.65
6 116258671	0	0	0	0.65
6 3267653	0	0	0.63	0
6 153282459	0	0	0.66	0
7 25689664	0	0	0.65	0.65
7 55403649	0	0	0	0.64
7 75416745	0	0.64	0.64	0.64
7 103141657	0	0.64	0	0
7 57463057	0	0	0.64	0.64
7 72948333	0	0.64	0.64	0.64
7 76440568	0	0	0	0.64
7 128092245	0	0	0	0.63
7 1542382	0	0	0	0.65
7 44468096	0	0	0	0.65
7 44768623	0	0.65	0.65	0.65
7 44799760	0	0.65	0.65	0.65
7 44799805	0	0	0.65	0
7 56063186	0	0	0	0.64
7 66739975	0	0	0.64	0.64
7 72948404	0	0	0	0.64
7 108510830	0	0	0.64	0.64
8 90917423	0	0.65	0	0
8 123236965	0	0	0.66	0
8 123236970	0	0	0	0.66
8 143579770	0	0	0.68	0
8 143579774	0	0	0.68	0
8 93957501	0	0.65	0	0
9 36163565	0	0	0	0.64
9 118082937	0	0	0	0.65
9 37436684	0	0	0.64	0
9 136980216	0	0	0	0.65
9 133071687	0	0	0.65	0.65
9 136849519	0	0	0.65	0
10 13729760	0	0	0.64	0
10 32102538	0	0.64	0	0
10 32102555	0	0	0.64	0
10 32102619	0	0	0	0.64
10 84217208	0	0	0.66	0
10 86857634	0	0.66	0.66	0.66
10 96750852	0	0	0.66	0
10 119638911	0	0	0.66	0.66
10 91485885	0	0	0.66	0.66
10 67874541	0	0	0.66	0
10 73422339	0	0	0.66	0
10 114690433	0	0.66	0.66	0.66
11 319854	0	0	0	0.65
11 8684080	0	0	0.65	0.65
11 46428730	0	0	0.65	0
11 46428813	0	0	0.65	0.65
11 65501007	0	0.65	0	0
11 65502618	0	0.65	0.65	0.65
11 118409073	0	0	0.65	0
11 120229810	0	0	0.65	0.65
11 319860	0	0.65	0	0
11 838551	0	0	0	0.65
11 65501955	0	0	0.65	0
11 65502821	0	0	0.65	0
11 72003987	0	0.65	0.65	0.65
11 118657755	0	0	0	0.65
11 7995366	0	0.65	0.65	0.65
11 46428765	0	0.65	0	0
11 46428836	0	0.65	0	0
11 57684065	0	0	0	0.65
11 62665645	0	0	0	0.65
11 69654192	0	0.65	0	0
11 71501527	0	0	0.65	0.65
11 117204317	0	0	0.65	0
12 6409652	0	0	0	0.64
12 49127952	0	0	0.64	0.64
12 52952814	0	0	0.64	0
12 52952842	0	0	0.64	0
12 55122734	0	0	0	0.64
12 56042600	0	0	0.64	0.64
12 68627036	0	0	0	0.64
12 103946909	0	0	0.65	0.65
12 120282505	0	0	0.65	0
12 120282553	0	0	0.65	0
12 120282580	0	0	0	0.65
12 56161541	0	0	0	0.64
12 56161555	0	0	0.64	0.64
12 110460995	0	0	0.65	0.65
12 124913294	0	0	0.65	0.65
12 48828778	0	0	0	0.64
12 56160294	0	0	0.64	0
12 105032073	0	0	0.65	0.65
12 124911737	0	0.65	0.65	0.65
12 124911839	0	0	0.65	0
12 124911905	0	0	0.65	0
13 42256170	0	0	0.64	0
13 51461059	0	0	0	0.64
13 51461242	0	0	0.64	0
14 34568967	0	0.64	0	0
14 55766811	0	0.65	0	0
14 103412181	0	0	0.65	0
14 103412196	0	0	0.65	0
14 77717537	0	0	0.65	0
14 23559781	0	0	0	0.63
14 96066142	0	0.65	0.65	0.65
14 96544220	0	0	0	0.65
15 94856146	0	0	0.64	0.64
15 59768929	0	0	0.64	0.64
15 66446630	0	0.64	0	0
15 66446642	0	0.64	0	0
16 1997809	0	0	0.66	0
16 14951908	0	0	0.66	0
16 22536266	0	0.66	0.66	0.66
16 56609347	0	0	0.66	0
16 56684089	0	0.66	0	0
16 57613083	0	0	0.66	0
16 80155161	0	0	0	0.65
16 88696533	0	0.65	0	0
16 24730495	0	0	0.66	0.66
16 56609056	0	0.66	0.66	0.66
16 681831	0	0	0.66	0
16 681866	0	0	0.66	0.66
16 717155	0	0	0	0.66
16 1997861	0	0	0.66	0
16 1997889	0	0	0.66	0.66
16 22536179	0	0.66	0.66	0.66
16 28735465	0	0	0.66	0
16 30656366	0	0	0.66	0.66
16 89561613	0	0	0	0.65
16 89563125	0	0	0.65	0.65
17 16382068	0	0	0	0.65
17 16382551	0	0	0.65	0
17 17383576	0	0	0.65	0
17 17383581	0	0	0	0.65
17 22524136	0	0	0.65	0
17 28720027	0	0.65	0.65	0.65
17 39065893	0	0	0	0.65
17 49404993	0	0	0.65	0.65
17 49405011	0	0	0.65	0.65
17 51170004	0	0	0.65	0
17 61590537	0	0	0	0.65
17 61590549	0	0	0	0.65
17 61590586	0	0	0	0.65
17 81900176	0	0.65	0	0
17 19446408	0	0.65	0	0
17 31230300	0	0	0.65	0.65
17 32941359	0	0	0.65	0
17 3661421	0	0	0.65	0
17 7014219	0	0	0.65	0
17 7853341	0	0.65	0.65	0.65
17 16382095	0	0	0	0.65
17 36195041	0	0	0	0.65
17 39204075	0	0	0.65	0
17 39997534	0	0	0.65	0
17 49406779	0	0.65	0.65	0.65
17 51171638	0	0	0.65	0
17 74209262	0	0	0.65	0.65
18 110240	0	0	0	0.64
18 47853271	0	0.64	0	0
18 110372	0	0.64	0.64	0.64
18 44868711	0	0.64	0.64	0.64
18 662622	0	0	0.64	0
19 1086352	0	0	0.68	0
19 1440174	0	0	0.68	0.68
19 1440399	0	0	0	0.68
19 1440407	0	0	0	0.68
19 1440430	0	0	0	0.68
19 1852582	0	0	0.68	0
19 4445158	0	0.68	0.68	0.68
19 17425041	0	0.68	0.68	0.68
19 19528175	0	0	0.68	0.68
19 35267885	0	0	0.67	0.67
19 40808384	0	0	0	0.67
19 48616168	0	0	0.67	0
19 49497587	0	0.67	0	0
19 12118050	0	0	0.68	0.68
19 12118076	0	0	0	0.68
19 23827679	0	0	0	0.68
19 34402291	0	0	0.67	0.67
19 48615344	0	0	0.67	0
19 48615388	0	0	0.67	0
19 48615400	0	0	0.67	0
19 48615435	0	0	0	0.67
19 49491541	0	0	0.67	0
19 49836882	0	0	0.67	0.67
19 52143105	0	0	0.67	0
19 1440206	0	0	0	0.68
19 1980284	0	0	0	0.68
19 7629858	0	0.68	0.68	0.68
19 15611920	0	0.68	0.68	0.68
19 15611948	0	0.68	0.68	0.68
19 18573369	0	0	0	0.68
19 18575064	0	0	0.68	0
19 35658595	0	0	0.67	0
19 44864172	0	0	0.67	0.67
19 49499556	0	0	0.67	0
19 50878417	0	0	0	0.67
19 54131343	0	0	0.67	0
19 58393137	0	0	0	0.67
20 4629627	0	0	0.66	0.66
20 30394289	0	0.66	0.66	0.66
20 43653163	0	0	0.66	0.66
20 44466740	0	0.66	0	0
20 44906520	0	0	0.66	0.66
20 62386308	0	0.66	0.66	0.66
20 62387353	0	0	0	0.66
20 14757736	0	0	0.66	0.66
20 37317062	0	0.66	0	0
20 62799898	0	0.66	0	0
20 45842283	0	0	0.66	0
21 8203527	0	0.64	0.64	0.64
21 8210111	0	0	0	0.64
21 8214034	0	0.64	0.64	0.64
21 8214205	0	0	0.64	0.64
21 8404802	0	0.64	0	0
21 10419565	0	0	0.64	0
21 8203502	0	0.64	0.64	0.64
21 8204844	0	0	0	0.64
21 8218953	0	0.64	0.64	0.64
21 8220094	0	0.64	0.64	0.64
21 8220836	0	0.64	0.64	0.64
21 8386163	0	0	0.64	0.64
21 8398424	0	0	0.64	0
21 8214739	0	0	0.64	0.64
21 8404556	0	0.64	0.64	0.64
21 10458174	0	0.64	0.64	0.64
22 20697554	0	0.66	0.66	0.66
22 21290347	0	0	0	0.66
22 41064453	0	0	0.66	0
22 43039807	0	0.66	0.66	0.66
22 39020291	0	0	0.66	0.66
22 20998798	0	0	0	0.66
22 22895429	0	0	0	0.66
22 23894849	0	0	0	0.66
22 29299784	0	0.66	0.66	0.66
22 37678597	0	0.66	0	0
22 50444929	0	0	0.66	0.66
X 72273275	0	0.63	0	0
X 72273314	0	0	0	0.63
X 156025470	0	0	0.66	0
X 156025479	0	0	0	0.66
X 156025495	0	0	0.66	0.66
X 156025527	0	0	0.66	0
X 156025547	0	0	0.66	0
X 13768191	0	0.66	0	0
X 72272721	0	0	0	0.63
X 72272729	0	0	0.63	0
X 72272752	0	0	0.63	0
X 119470512	0	0.63	0	0
X 154400576	0	0	0.66	0
X 154400587	0	0	0.66	0
Y 2866843	0	0.62	0	0
Y 2866879	0	0	0.62	0.62
Y 25307913	0	0.64	0.64	0.64
MT 2348	0	0	0.67	0
